date,temperature,humidity,luminosity
2021-11-17 15:23:14.635,18.7,29.6,116
2021-11-17 15:23:12.357,18.7,29.6,116
2021-11-17 15:23:10.080,18.7,29.6,116
2021-11-17 15:23:07.802,18.7,29.6,116
2021-11-17 15:23:05.524,18.7,29.6,116
2021-11-17 15:23:03.247,18.7,29.6,116
2021-11-17 15:23:00.969,18.7,29.6,116
2021-11-17 15:22:58.691,18.7,29.6,116
2021-11-17 15:22:56.414,18.8,29.7,116
2021-11-17 15:22:54.136,18.7,29.6,116
2021-11-17 15:22:51.859,18.7,29.6,116
2021-11-17 15:22:49.581,18.7,29.6,116
2021-11-17 15:22:47.303,18.8,29.7,116
2021-11-17 15:22:45.026,18.7,29.6,117
2021-11-17 15:22:42.748,18.7,29.6,116
2021-11-17 15:22:40.471,18.7,29.7,116
2021-11-17 15:22:38.193,18.8,29.7,116
2021-11-17 15:22:35.915,18.7,29.7,116
2021-11-17 15:22:33.634,18.7,29.7,116
2021-11-17 15:22:31.356,18.7,29.7,116
2021-11-17 15:22:29.078,18.8,29.8,116
2021-11-17 15:22:26.801,18.7,29.7,116
2021-11-17 15:22:24.523,18.7,29.7,116
2021-11-17 15:22:22.246,18.7,29.7,116
2021-11-17 15:22:19.968,18.8,29.7,117
2021-11-17 15:22:17.690,18.8,29.7,116
2021-11-17 15:22:15.413,18.8,29.7,116
2021-11-17 15:22:13.135,18.8,29.7,117
2021-11-17 15:22:10.857,18.8,29.7,116
2021-11-17 15:22:08.580,18.8,29.7,116
2021-11-17 15:22:06.302,18.8,29.6,116
2021-11-17 15:22:04.025,18.8,29.6,116
2021-11-17 15:22:01.747,18.8,29.6,116
2021-11-17 15:21:59.469,18.9,29.6,120
2021-11-17 15:21:57.187,18.9,29.6,116
2021-11-17 15:21:54.910,18.9,29.6,116
2021-11-17 15:21:52.632,18.9,29.6,117
2021-11-17 15:21:50.355,18.9,29.6,116
2021-11-17 15:21:48.077,18.9,29.5,116
2021-11-17 15:21:45.800,18.9,29.5,117
2021-11-17 15:21:43.522,19.0,29.5,116
2021-11-17 15:21:41.244,19.0,29.5,117
2021-11-17 15:21:38.967,19.0,29.5,116
2021-11-17 15:21:36.689,19.0,29.4,117
2021-11-17 15:21:34.411,19.0,29.4,117
2021-11-17 15:21:32.134,19.0,29.4,117
2021-11-17 15:21:29.856,19.1,29.5,117
2021-11-17 15:21:27.574,19.1,29.4,117
2021-11-17 15:21:25.297,19.1,29.4,117
2021-11-17 15:21:23.019,19.1,29.4,117
2021-11-17 15:21:20.742,19.1,29.4,117
2021-11-17 15:21:18.464,19.2,29.4,117
2021-11-17 15:21:16.186,19.1,29.4,117
2021-11-17 15:21:13.909,19.2,29.4,117
2021-11-17 15:21:11.631,19.2,29.3,117
2021-11-17 15:21:09.354,19.2,29.3,117
2021-11-17 15:21:07.076,19.2,29.3,117
2021-11-17 15:21:04.798,19.3,29.3,117
2021-11-17 15:21:02.521,19.3,29.3,117
2021-11-17 15:21:00.243,19.3,29.3,117
2021-11-17 15:20:57.966,19.3,29.3,118
2021-11-17 15:20:55.688,19.3,29.2,117
2021-11-17 15:20:53.410,19.3,29.2,117
2021-11-17 15:20:51.133,19.4,29.3,117
2021-11-17 15:20:48.855,19.4,29.3,117
2021-11-17 15:20:46.577,19.4,29.3,117
